1	16	绿	绿	0.693147242
1	0	#0	<eps>	0.593063712
0	2	四月	四月	3.04452181
0	3	大块	大块	3.04452181
0	4	峦	峦	3.04452181
0	5	底色	底色	3.04452181
0	6	得	得	3.04452181
0	7	文章	文章	3.04452181
0	8	是	是	3.04452181
0	9	景	景	3.04452181
0	10	更是	更是	3.04452181
0	11	林	林	3.04452181
0	12	烟	烟	3.04452181
0	13	的	的	2.35137463
0	14	盎然	盎然	3.04452181
0	15	秀媚	秀媚	3.04452181
0	16	绿	绿	2.35137463
0	17	诗意	诗意	3.04452181
0	18	阳春	阳春	3.04452181
0	19	鲜活	鲜活	3.04452181
0	3.04452181
2	13	的	的	0.693147242
2	0	#0	<eps>	0.593063712
3	7	文章	文章	0.693147242
3	0	#0	<eps>	0.644357026
4	10	更是	更是	0.693147242
4	0	#0	<eps>	0.644357026
5	2	四月	四月	0.693147242
5	0	#0	<eps>	0.644357026
6	19	鲜活	鲜活	0.693147242
6	0	#0	<eps>	0.644357026
7	13	的	的	0.693147242
7	0	#0	<eps>	0.593063712
8	18	阳春	阳春	0.693147242
8	0	#0	<eps>	0.644357026
9	3	大块	大块	0.693147242
9	0	#0	<eps>	0.644357026
10	16	绿	绿	0.693147242
10	0	#0	<eps>	0.593063712
11	4	峦	峦	0.693147242
11	0	#0	<eps>	0.644357026
12	9	景	景	0.693147242
12	0	#0	<eps>	0.644357026
13	5	底色	底色	1.60943794
13	11	林	林	1.60943794
13	0	#0	<eps>	0.410742015
14	0	#0	<eps>	0.644357026
14	0.693147242
15	17	诗意	诗意	0.693147242
15	0	#0	<eps>	0.644357026
16	6	得	得	1.60943794
16	8	是	是	1.60943794
16	0	#0	<eps>	0.410742015
17	14	盎然	盎然	0.693147242
17	0	#0	<eps>	0.644357026
18	12	烟	烟	0.693147242
18	0	#0	<eps>	0.644357026
19	15	秀媚	秀媚	0.693147242
19	0	#0	<eps>	0.644357026
